model,term,estimate,std.error,statistic,p.value,conf.low,conf.high,nobs
kam_ctrl,mortalityfirst,0.4108196054379633,0.03394244783983195,12.10341715413526,6.571163442926849e-31,0.34418523010303265,0.47745398077289397,752
kam_ctrl,ramean,0.20256499414155243,0.10889915577119359,1.8601153765338525,0.06326362335131813,-0.011221214017520659,0.4163512023006255,752
kam_ctrl,female_imp,0.03436486434459581,0.03410871067915589,1.0075099193238184,0.31401734535686965,-0.03259591115133801,0.10132563984052964,752
kam_ctrl,age01_imp,0.0954552017140883,0.07660974858172911,1.2459928857781646,0.21315921012245292,-0.05494181046954694,0.24585221389772355,752
kam_ctrl,education01_7_imp,-0.07787239836855733,0.07112501461921497,-1.0948665358519238,0.2739294234412188,-0.21750201324499183,0.06175721650787716,752
kam_ctrl,income01_imp,0.07726561026568698,0.07888254611571968,0.979501982001688,0.3276504006949045,-0.07759326173003017,0.23212448226140414,752
kam_ctrl,ideology01_imp,-0.06429544487783921,0.07203805477944558,-0.8925205584005366,0.3724025562756095,-0.20571750150802592,0.07712661175234749,752
kam_int,(Intercept),0.23836208118096563,0.07865078531671507,3.0306382856969174,0.0025245134851457694,0.08395953752524238,0.3927646248366889,752
kam_int,mortalityfirst,0.4073928601245436,0.10065346358117941,4.047479794830623,5.71608344537759e-5,0.20979596719956023,0.604989753049527,752
kam_int,ramean,0.17932942965946366,0.17045376203833879,1.0520708226969409,0.29310680616542967,-0.15529525753757048,0.5139541168564978,752
kam_int,mortalityfirst:ramean,-0.005717812650148873,0.21295317350601886,-0.026850093642709984,0.9785864602184213,-0.42377481661371935,0.4123391913134216,752
